x,y,z,dx,dy,dz,density,is_ore,rock_type,cu_grade
0,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,0,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,0,100,10,10,5,2.7,True,Ore,0.40663967994091155
10,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,0,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,0,100,10,10,5,2.7,True,Ore,0.40663967994091155
20,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,0,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,0,100,10,10,5,2.7,True,Ore,0.40663967994091155
30,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,0,95,10,10,5,2.7,True,Ore,0.40663967994091155
30,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,0,95,10,10,5,2.7,True,Ore,0.40663967994091155
40,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
50,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
60,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,0,90,10,10,5,2.7,True,Ore,0.40663967994091155
70,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
80,0,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,0,85,10,10,5,2.7,True,Ore,0.40663967994091155
90,0,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,0,80,10,10,5,2.7,True,Ore,0.40663967994091155
100,0,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,0,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,0,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,0,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,10,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,10,100,10,10,5,2.7,True,Ore,0.40663967994091155
10,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,10,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,10,100,10,10,5,2.7,True,Ore,0.40663967994091155
20,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,10,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,10,95,10,10,5,2.7,True,Ore,0.40663967994091155
30,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,10,95,10,10,5,2.7,True,Ore,0.40663967994091155
40,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
50,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,10,90,10,10,5,2.7,True,Ore,0.40663967994091155
60,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,10,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
80,10,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,10,85,10,10,5,2.7,True,Ore,0.40663967994091155
90,10,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,10,80,10,10,5,2.7,True,Ore,0.40663967994091155
100,10,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,10,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,10,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,10,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,20,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,20,100,10,10,5,2.7,True,Ore,0.40663967994091155
10,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
