timestamp,status
2023-10-01 00:00:00.000000000,Digging
2023-10-01 00:00:19.070028684,Swinging
2023-10-01 00:00:29.596683136,Dumping
2023-10-01 00:00:40.171157532,Waiting for Truck
2023-10-01 00:01:34.698043452,Digging
2023-10-01 00:01:50.309653552,Swinging
2023-10-01 00:02:03.238249423,Dumping
2023-10-01 00:02:17.478546439,Waiting for Truck
2023-10-01 00:02:18.432591872,Digging
2023-10-01 00:02:36.817557467,Swinging
2023-10-01 00:02:53.948951040,Dumping
2023-10-01 00:03:04.421729393,Digging
2023-10-01 00:03:23.326751149,Swinging
2023-10-01 00:03:34.943894542,Dumping
2023-10-01 00:03:47.453688291,Waiting for Truck
2023-10-01 00:04:00.087950637,Digging
2023-10-01 00:04:20.250824071,Swinging
2023-10-01 00:04:34.124743485,Dumping
2023-10-01 00:04:44.476316886,Waiting for Truck
2023-10-01 00:05:30.123635604,Digging
2023-10-01 00:05:46.978018261,Swinging
2023-10-01 00:06:06.956788222,Dumping
2023-10-01 00:06:19.422925947,Digging
2023-10-01 00:06:42.512797981,Swinging
2023-10-01 00:06:57.718941591,Dumping
2023-10-01 00:07:11.440771508,Waiting for Truck
2023-10-01 00:10:46.125713556,Digging
2023-10-01 00:11:06.354388033,Swinging
2023-10-01 00:11:16.648158648,Dumping
2023-10-01 00:11:30.403838930,Waiting for Truck
2023-10-01 00:15:26.135229255,Digging
2023-10-01 00:15:47.713846839,Swinging
2023-10-01 00:16:07.670000496,Dumping
2023-10-01 00:16:21.243799804,Digging
2023-10-01 00:16:44.202984652,Swinging
2023-10-01 00:16:58.552533732,Dumping
2023-10-01 00:17:09.940376906,Digging
2023-10-01 00:17:31.832027915,Swinging
2023-10-01 00:17:43.865436677,Dumping
2023-10-01 00:17:55.675591169,Digging
2023-10-01 00:18:13.594151818,Swinging
2023-10-01 00:18:25.458251233,Dumping
2023-10-01 00:18:37.770110258,Digging
2023-10-01 00:19:02.578410617,Swinging
2023-10-01 00:19:17.895245977,Dumping
2023-10-01 00:19:29.121379092,Waiting for Truck
2023-10-01 00:21:12.149353791,Digging
2023-10-01 00:21:31.721216652,Swinging
2023-10-01 00:21:51.049829099,Dumping
2023-10-01 00:22:04.119115208,Waiting for Truck
2023-10-01 00:22:49.607927929,Digging
2023-10-01 00:23:10.784100440,Swinging
2023-10-01 00:23:30.412757886,Dumping
2023-10-01 00:23:44.805366680,Digging
2023-10-01 00:24:01.513591232,Swinging
2023-10-01 00:24:15.029589507,Dumping
2023-10-01 00:24:29.094055712,Digging
2023-10-01 00:24:48.432690469,Swinging
2023-10-01 00:25:00.376980546,Dumping
2023-10-01 00:25:14.528295979,Digging
2023-10-01 00:25:29.707750101,Swinging
2023-10-01 00:25:42.522296293,Dumping
2023-10-01 00:25:57.046743792,Digging
2023-10-01 00:26:15.990049376,Swinging
2023-10-01 00:26:26.444519123,Dumping
2023-10-01 00:26:37.200204101,Digging
2023-10-01 00:27:01.393191743,Swinging
2023-10-01 00:27:17.527854152,Dumping
2023-10-01 00:27:30.839326124,Waiting for Truck
2023-10-01 00:30:38.622385260,Digging
2023-10-01 00:30:54.134745922,Swinging
2023-10-01 00:31:09.000413007,Dumping
2023-10-01 00:31:23.738222698,Waiting for Truck
2023-10-01 00:31:46.350055493,Digging
2023-10-01 00:32:08.348996074,Swinging
2023-10-01 00:32:27.839375565,Dumping
2023-10-01 00:32:41.164397176,Digging
2023-10-01 00:32:56.406805858,Swinging
2023-10-01 00:33:06.697701869,Dumping
2023-10-01 00:33:21.332407829,Waiting for Truck
2023-10-01 00:34:09.516491858,Digging
2023-10-01 00:34:31.565372355,Swinging
2023-10-01 00:34:43.918720253,Dumping
2023-10-01 00:34:57.303980575,Waiting for Truck
2023-10-01 00:35:15.656944137,Digging
2023-10-01 00:35:37.233703469,Swinging
2023-10-01 00:35:54.260773468,Dumping
2023-10-01 00:36:06.094433851,Digging
2023-10-01 00:36:22.268344873,Swinging
2023-10-01 00:36:37.664044108,Dumping
2023-10-01 00:36:52.274033612,Digging
2023-10-01 00:37:14.003565182,Swinging
2023-10-01 00:37:32.486159894,Dumping
2023-10-01 00:37:44.296503665,Digging
2023-10-01 00:38:03.101581841,Swinging
2023-10-01 00:38:16.468357433,Dumping
2023-10-01 00:38:27.381926082,Waiting for Truck
2023-10-01 00:39:38.104577090,Digging
2023-10-01 00:39:57.451594978,Swinging
2023-10-01 00:40:16.858536619,Dumping
2023-10-01 00:40:28.062319320,Digging
2023-10-01 00:40:52.063801097,Swinging
2023-10-01 00:41:08.308385559,Dumping
2023-10-01 00:41:21.818805913,Digging
2023-10-01 00:41:43.826344104,Swinging
2023-10-01 00:41:55.377418621,Dumping
2023-10-01 00:42:07.240768030,Digging
2023-10-01 00:42:27.145615166,Swinging
2023-10-01 00:42:37.787327050,Dumping
2023-10-01 00:42:51.453516960,Digging
2023-10-01 00:43:11.501714573,Swinging
2023-10-01 00:43:25.504161289,Dumping
2023-10-01 00:43:40.081441493,Waiting for Truck
2023-10-01 00:43:45.707887478,Digging
2023-10-01 00:44:03.305030951,Swinging
2023-10-01 00:44:22.857340286,Dumping
2023-10-01 00:44:37.667914343,Digging
2023-10-01 00:45:02.643061271,Swinging
2023-10-01 00:45:19.158128375,Dumping
2023-10-01 00:45:33.764604872,Waiting for Truck
2023-10-01 00:50:02.249930039,Digging
2023-10-01 00:50:20.267511935,Swinging
2023-10-01 00:50:37.363770411,Dumping
2023-10-01 00:50:48.873398446,Digging
2023-10-01 00:51:10.391662884,Swinging
2023-10-01 00:51:22.702973110,Dumping
2023-10-01 00:51:35.324102520,Waiting for Truck
2023-10-01 00:54:01.839797319,Digging
2023-10-01 00:54:20.857064303,Swinging
2023-10-01 00:54:40.123564974,Dumping
2023-10-01 00:54:51.121496256,Digging
2023-10-01 00:55:10.816113289,Swinging
2023-10-01 00:55:23.296889869,Dumping
2023-10-01 00:55:37.942453412,Digging
2023-10-01 00:55:56.691651565,Swinging
2023-10-01 00:56:12.040787624,Dumping
2023-10-01 00:56:22.184266576,Digging
2023-10-01 00:56:37.462600898,Swinging
2023-10-01 00:56:57.072693973,Dumping
2023-10-01 00:57:11.615536261,Waiting for Truck
2023-10-01 00:58:37.532939642,Digging
2023-10-01 00:59:00.595075286,Swinging
2023-10-01 00:59:16.164182251,Dumping
2023-10-01 00:59:28.869525145,Waiting for Truck
2023-10-01 01:02:55.045920634,Digging
2023-10-01 01:03:17.302110941,Swinging
2023-10-01 01:03:27.749497306,Dumping
2023-10-01 01:03:40.629655192,Digging
2023-10-01 01:04:05.536790265,Swinging
2023-10-01 01:04:19.135740851,Dumping
2023-10-01 01:04:29.251953589,Digging
2023-10-01 01:04:52.354717970,Swinging
2023-10-01 01:05:11.207335567,Dumping
2023-10-01 01:05:22.264448828,Digging
2023-10-01 01:05:37.838033353,Swinging
2023-10-01 01:05:48.117829531,Dumping
2023-10-01 01:05:58.245614392,Waiting for Truck
2023-10-01 01:06:19.624271614,Digging
2023-10-01 01:06:37.409858348,Swinging
2023-10-01 01:06:52.784513772,Dumping
2023-10-01 01:07:05.936421621,Waiting for Truck
2023-10-01 01:07:26.610093719,Digging
2023-10-01 01:07:46.650842027,Swinging
2023-10-01 01:08:04.069341023,Dumping
2023-10-01 01:08:16.651438433,Digging
2023-10-01 01:08:37.067012316,Swinging
2023-10-01 01:08:53.957217248,Dumping
2023-10-01 01:09:08.599169603,Digging
2023-10-01 01:09:32.320870332,Swinging
2023-10-01 01:09:43.520279392,Dumping
2023-10-01 01:09:54.741004518,Digging
2023-10-01 01:10:15.670421676,Swinging
2023-10-01 01:10:31.040012586,Dumping
2023-10-01 01:10:43.851645964,Waiting for Truck
2023-10-01 01:21:27.903178384,Digging
2023-10-01 01:21:48.361953261,Swinging
2023-10-01 01:22:03.387649454,Dumping
2023-10-01 01:22:18.379931928,Waiting for Truck
2023-10-01 01:22:33.685419613,Digging
2023-10-01 01:22:54.953523179,Swinging
2023-10-01 01:23:14.227440715,Dumping
2023-10-01 01:23:28.747366444,Waiting for Truck
2023-10-01 01:24:52.610453441,Digging
2023-10-01 01:25:16.363875464,Swinging
2023-10-01 01:25:34.249910918,Dumping
2023-10-01 01:25:44.898169092,Digging
2023-10-01 01:26:06.303406799,Swinging
2023-10-01 01:26:25.609960325,Dumping
2023-10-01 01:26:36.697806042,Digging
2023-10-01 01:26:53.728807468,Swinging
2023-10-01 01:27:07.777417898,Dumping
2023-10-01 01:27:22.055307872,Digging
2023-10-01 01:27:41.263917655,Swinging
2023-10-01 01:27:53.948797794,Dumping
2023-10-01 01:28:04.552966868,Digging
2023-10-01 01:28:26.776919996,Swinging
2023-10-01 01:28:42.154887986,Dumping
2023-10-01 01:28:56.365035023,Digging
2023-10-01 01:29:12.147537712,Swinging
2023-10-01 01:29:26.431976776,Dumping
2023-10-01 01:29:41.103546725,Digging
2023-10-01 01:29:56.143245741,Swinging
2023-10-01 01:30:08.152695591,Dumping
2023-10-01 01:30:20.769744137,Waiting for Truck
2023-10-01 01:33:22.819360071,Digging
2023-10-01 01:33:38.911927001,Swinging
2023-10-01 01:33:53.220264890,Dumping
2023-10-01 01:34:05.190283970,Waiting for Truck
2023-10-01 01:35:27.479496000,Digging
2023-10-01 01:35:44.799935605,Swinging
2023-10-01 01:36:01.066301719,Dumping
2023-10-01 01:36:12.444896977,Waiting for Truck
2023-10-01 01:37:27.588275797,Digging
2023-10-01 01:37:43.196267143,Swinging
2023-10-01 01:38:02.803452059,Dumping
2023-10-01 01:38:16.200193238,Digging
2023-10-01 01:38:40.321244554,Swinging
2023-10-01 01:38:55.778209073,Dumping
2023-10-01 01:39:10.615272041,Digging
2023-10-01 01:39:26.512226724,Swinging
2023-10-01 01:39:43.724131250,Dumping
2023-10-01 01:39:55.800075278,Digging
2023-10-01 01:40:15.696043702,Swinging
2023-10-01 01:40:27.421179696,Dumping
2023-10-01 01:40:37.891180022,Waiting for Truck
2023-10-01 01:41:16.583743096,Digging
2023-10-01 01:41:36.880020395,Swinging
2023-10-01 01:41:47.995185594,Dumping
2023-10-01 01:41:58.903362555,Waiting for Truck
2023-10-01 01:42:04.569263841,Digging
2023-10-01 01:42:23.562414278,Swinging
2023-10-01 01:42:35.517318714,Dumping
2023-10-01 01:42:46.191686194,Waiting for Truck
2023-10-01 01:45:40.939085126,Digging
2023-10-01 01:45:58.173158095,Swinging
2023-10-01 01:46:11.377306869,Dumping
2023-10-01 01:46:24.455722987,Waiting for Truck
2023-10-01 01:49:02.616040610,Digging
2023-10-01 01:49:24.183548963,Swinging
2023-10-01 01:49:37.093447029,Dumping
2023-10-01 01:49:49.802929572,Digging
2023-10-01 01:50:13.270676124,Swinging
2023-10-01 01:50:29.114732099,Dumping
2023-10-01 01:50:42.075574078,Digging
2023-10-01 01:51:04.214163183,Swinging
2023-10-01 01:51:19.131127477,Dumping
2023-10-01 01:51:33.112677277,Digging
2023-10-01 01:51:52.353909167,Swinging
2023-10-01 01:52:02.505840997,Dumping
2023-10-01 01:52:17.057688309,Digging
2023-10-01 01:52:39.318182218,Swinging
2023-10-01 01:52:58.856780205,Dumping
2023-10-01 01:53:09.618228792,Waiting for Truck
2023-10-01 01:53:52.255836174,Digging
2023-10-01 01:54:13.327971627,Swinging
2023-10-01 01:54:24.599517398,Dumping
2023-10-01 01:54:34.642276663,Digging
2023-10-01 01:54:58.366695532,Swinging
2023-10-01 01:55:13.692478066,Dumping
2023-10-01 01:55:25.617754643,Digging
2023-10-01 01:55:46.718737716,Swinging
2023-10-01 01:56:05.887227382,Dumping
2023-10-01 01:56:19.895840702,Waiting for Truck
2023-10-01 01:58:13.815374393,Digging
2023-10-01 01:58:32.500197038,Swinging
2023-10-01 01:58:44.955250223,Dumping
2023-10-01 01:58:59.637230226,Digging
2023-10-01 01:59:17.195151474,Swinging
2023-10-01 01:59:33.540424888,Dumping
2023-10-01 01:59:47.827593300,Waiting for Truck
2023-10-01 02:02:03.377897047,Digging
2023-10-01 02:02:27.693896593,Swinging
2023-10-01 02:02:38.864473290,Dumping
2023-10-01 02:02:50.021501997,Digging
2023-10-01 02:03:11.981093516,Swinging
2023-10-01 02:03:23.984713454,Dumping
2023-10-01 02:03:34.152513902,Digging
2023-10-01 02:03:58.265842088,Swinging
2023-10-01 02:04:10.101321010,Dumping
2023-10-01 02:04:24.151222200,Waiting for Truck
2023-10-01 02:04:55.632740959,Digging
2023-10-01 02:05:15.131366006,Swinging
2023-10-01 02:05:33.263568376,Dumping
2023-10-01 02:05:48.223546689,Digging
2023-10-01 02:06:12.065894732,Swinging
2023-10-01 02:06:28.766188453,Dumping
2023-10-01 02:06:41.303359644,Waiting for Truck
2023-10-01 02:08:14.660450599,Digging
2023-10-01 02:08:38.880836204,Swinging
2023-10-01 02:08:49.849174975,Dumping
2023-10-01 02:09:04.158346960,Waiting for Truck
2023-10-01 02:09:39.760098866,Digging
2023-10-01 02:09:58.753510929,Swinging
2023-10-01 02:10:10.988229807,Dumping
2023-10-01 02:10:25.828563465,Digging
2023-10-01 02:10:47.492994923,Swinging
2023-10-01 02:11:05.702022693,Dumping
2023-10-01 02:11:17.711427350,Digging
2023-10-01 02:11:33.179263419,Swinging
2023-10-01 02:11:44.023473299,Dumping
2023-10-01 02:11:55.603310042,Digging
2023-10-01 02:12:10.702258441,Swinging
2023-10-01 02:12:20.892439272,Dumping
2023-10-01 02:12:34.774114031,Digging
2023-10-01 02:12:52.602089707,Swinging
2023-10-01 02:13:11.161557869,Dumping
2023-10-01 02:13:23.173290563,Waiting for Truck
2023-10-01 02:14:34.873694034,Digging
2023-10-01 02:14:52.964784351,Swinging
2023-10-01 02:15:04.192823617,Dumping
2023-10-01 02:15:14.339632046,Digging
2023-10-01 02:15:29.963718134,Swinging
2023-10-01 02:15:41.228985753,Dumping
2023-10-01 02:15:55.612128246,Waiting for Truck
2023-10-01 02:16:22.224984375,Digging
2023-10-01 02:16:44.543498011,Swinging
2023-10-01 02:17:03.051755675,Dumping
2023-10-01 02:17:13.437571191,Digging
2023-10-01 02:17:29.500556172,Swinging
2023-10-01 02:17:40.861511618,Dumping
2023-10-01 02:17:51.650460839,Waiting for Truck
2023-10-01 02:19:05.660536819,Digging
2023-10-01 02:19:21.998488662,Swinging
2023-10-01 02:19:33.249747082,Dumping
2023-10-01 02:19:45.269282238,Waiting for Truck
2023-10-01 02:20:39.818622232,Digging
2023-10-01 02:20:56.074193183,Swinging
2023-10-01 02:21:10.583113050,Dumping
2023-10-01 02:21:23.011954143,Waiting for Truck
2023-10-01 02:22:03.734546256,Digging
2023-10-01 02:22:22.122527627,Swinging
2023-10-01 02:22:36.471032012,Dumping
2023-10-01 02:22:48.430092708,Digging
2023-10-01 02:23:13.332013342,Swinging
2023-10-01 02:23:29.707680666,Dumping
2023-10-01 02:23:40.230500036,Digging
2023-10-01 02:23:56.805969855,Swinging
2023-10-01 02:24:12.836790812,Dumping
2023-10-01 02:24:24.384993334,Digging
2023-10-01 02:24:43.089648937,Swinging
2023-10-01 02:24:57.626252375,Dumping
2023-10-01 02:25:12.171592193,Digging
2023-10-01 02:25:28.226842271,Swinging
2023-10-01 02:25:42.802695216,Dumping
2023-10-01 02:25:57.418701587,Waiting for Truck
2023-10-01 02:26:04.201574617,Digging
2023-10-01 02:26:19.219676318,Swinging
2023-10-01 02:26:31.547296036,Dumping
2023-10-01 02:26:45.657123741,Digging
2023-10-01 02:27:08.425219388,Swinging
2023-10-01 02:27:26.350425601,Dumping
2023-10-01 02:27:39.014556174,Digging
2023-10-01 02:27:59.114161041,Swinging
2023-10-01 02:28:18.756382701,Dumping
2023-10-01 02:28:29.491769153,Digging
2023-10-01 02:28:46.600540972,Swinging
2023-10-01 02:29:05.768972747,Dumping
2023-10-01 02:29:16.470261394,Digging
2023-10-01 02:29:32.847001674,Swinging
2023-10-01 02:29:46.332960802,Dumping
2023-10-01 02:30:00.103139747,Waiting for Truck
2023-10-01 02:36:30.998453790,Digging
2023-10-01 02:36:46.448691690,Swinging
2023-10-01 02:37:01.516352977,Dumping
2023-10-01 02:37:14.747440753,Waiting for Truck
2023-10-01 02:39:00.771996621,Digging
2023-10-01 02:39:17.504211880,Swinging
