id,x,y,z,au,cu
0,0,0,0,0,0
1,0,0,1,0,0
2,0,0,2,0,0
3,0,0,3,0,0
4,0,0,4,0,0
5,0,0,5,0,0
6,0,0,6,0,0
7,0,0,7,0,0
8,0,0,8,0,0
9,0,0,9,0,0
10,0,0,10,0,0
11,0,0,11,0,0
12,0,0,12,0,0
13,0,0,13,0,0
14,0,1,0,0,0
15,0,1,1,0,0
16,0,1,2,0,0
17,0,1,3,0,0
18,0,1,4,0,0
19,0,1,5,0,0
20,0,1,6,0,0
21,0,1,7,0,0
22,0,1,8,0,0
23,0,1,9,0,0
24,0,1,10,0,0
25,0,1,11,0,0
26,0,1,12,0,0
27,0,1,13,0,0
28,0,2,0,0,0
29,0,2,1,0,0
30,0,2,2,0,0
31,0,2,3,0,0
32,0,2,4,0,0
33,0,2,5,0,0
34,0,2,6,0,0
35,0,2,7,0,0
36,0,2,8,0,0
37,0,2,9,0,0
38,0,2,10,0,0
39,0,2,11,0,0
40,0,2,12,0,0
41,0,2,13,0,0
42,0,3,0,0,0
43,0,3,1,0,0
44,0,3,2,0,0
45,0,3,3,0,0
46,0,3,4,0,0
47,0,3,5,0,0
48,0,3,6,0,0
49,0,3,7,0,0
50,0,3,8,0,0
51,0,3,9,0,0
52,0,3,10,0,0
53,0,3,11,0,0
54,0,3,12,0,0
55,0,3,13,0,0
56,0,4,0,0,0
57,0,4,1,0,0
58,0,4,2,0,0
59,0,4,3,0,0
60,0,4,4,0,0
61,0,4,5,0,0
62,0,4,6,0,0
63,0,4,7,0,0
64,0,4,8,0,0
65,0,4,9,0,0
66,0,4,10,0,0
67,0,4,11,0,0
68,0,4,12,0,0
69,0,4,13,0,0
70,0,5,0,0,0
71,0,5,1,0,0
72,0,5,2,0,0
73,0,5,3,0,0
74,0,5,4,0,0
75,0,5,5,0,0
76,0,5,6,0,0
77,0,5,7,0,0
78,0,5,8,0,0
79,0,5,9,0,0
80,0,5,10,0,0
81,0,5,11,0,0
82,0,5,12,0,0
83,0,5,13,0,0
84,0,6,0,0,0
85,0,6,1,0,0
86,0,6,2,0,0
87,0,6,3,0,0
88,0,6,4,0,0
89,0,6,5,0,0
90,0,6,6,0,0
91,0,6,7,0,0
92,0,6,8,0,0
93,0,6,9,0,0
94,0,6,10,0,0
95,0,6,11,0,0
96,0,6,12,0,0
97,0,6,13,0,0
98,0,7,0,0,0
99,0,7,1,0,0
100,0,7,2,0,0
101,0,7,3,0,0
102,0,7,4,0,0
103,0,7,5,0,0
104,0,7,6,0,0
105,0,7,7,0,0
106,0,7,8,0,0
107,0,7,9,0,0
108,0,7,10,0,0
109,0,7,11,0,0
110,0,7,12,0,0
111,0,7,13,0,0
112,0,8,0,0,0
113,0,8,1,0,0
114,0,8,2,0,0
115,0,8,3,0,0
116,0,8,4,0,0
117,0,8,5,0,0
118,0,8,6,0,0
119,0,8,7,0,0
120,0,8,8,0,0
121,0,8,9,0,0
122,0,8,10,0,0
123,0,8,11,0,0
124,0,8,12,0,0
125,0,8,13,0,0
126,0,9,0,0,0
127,0,9,1,0,0
128,0,9,2,0,0
129,0,9,3,0,0
130,0,9,4,0,0
131,0,9,5,0,0
132,0,9,6,0,0
133,0,9,7,0,0
134,0,9,8,0,0
135,0,9,9,0,0
136,0,9,10,0,0
137,0,9,11,0,0
138,0,9,12,0,0
139,0,9,13,0,0
140,0,10,0,0,0
141,0,10,1,0,0
142,0,10,2,0,0
143,0,10,3,0,0
144,0,10,4,0,0
145,0,10,5,0,0
146,0,10,6,0,0
147,0,10,7,0,0
148,0,10,8,0,0
149,0,10,9,0,0
150,0,10,10,0,0
151,0,10,11,0,0
152,0,10,12,0,0
153,0,10,13,0,0
154,0,10,14,0,0
155,0,11,0,0,0
156,0,11,1,0,0
157,0,11,2,0,0
158,0,11,3,0,0
159,0,11,4,0,0
160,0,11,5,0,0
161,0,11,6,0,0
162,0,11,7,0,0
163,0,11,8,0,0
164,0,11,9,0,0
165,0,11,10,0,0
166,0,11,11,0,0
167,0,11,12,0,0
168,0,11,13,0,0
169,0,11,14,0,0
170,0,12,0,0,0
171,0,12,1,0,0
172,0,12,2,0,0
173,0,12,3,0,0
174,0,12,4,0,0
175,0,12,5,0,0
176,0,12,6,0,0
177,0,12,7,0,0
178,0,12,8,0,0
179,0,12,9,0,0
180,0,12,10,0,0
181,0,12,11,0,0
182,0,12,12,0,0
183,0,12,13,0,0
184,0,12,14,0,0
185,0,13,0,0,0
186,0,13,1,0,0
187,0,13,2,0,0
188,0,13,3,0,0
189,0,13,4,0,0
190,0,13,5,0,0
191,0,13,6,0,0
192,0,13,7,0,0
193,0,13,8,0,0
194,0,13,9,0,0
195,0,13,10,0,0
196,0,13,11,0,0
197,0,13,12,0,0
198,0,13,13,0,0
199,0,13,14,0,0
200,0,14,0,0,0
201,0,14,1,0,0
202,0,14,2,0,0
203,0,14,3,0,0
204,0,14,4,0,0
205,0,14,5,0,0
