from,to,length,rock_type,cu_grade,mo_ppm
0,2,2,OVB,0.15,4.0
2,4,2,OVB,0.19,15.0
4,6,2,OVB,0.08,13.0
6,8,2,OVB,0.1,11.0
8,10,2,OVB,0.17,8.0
10,12,2,OVB,0.12,18.0
12,14,2,OVB,0.13,7.0
14,16,2,OVB,0.08,15.0
16,18,2,OVB,0.08,12.0
18,20,2,OVB,0.1,9.0
20,22,2,OVB,0.01,3.0
22,24,2,OVB,0.1,8.0
24,26,2,OVB,0.14,12.0
26,28,2,OVB,0.09,6.0
28,30,2,OVB,0.12,17.0
30,32,2,OVB,0.14,5.0
32,34,2,OVB,0.06,8.0
34,36,2,OVB,0.02,11.0
36,38,2,OVB,0.08,14.0
38,40,2,OVB,0.12,11.0
40,42,2,DAC,0.49,436.0
42,44,2,DAC,0.58,457.0
44,46,2,DAC,0.47,469.0
46,48,2,DAC,0.68,325.0
48,50,2,DAC,0.51,478.0
50,52,2,DAC,0.49,379.0
52,54,2,DAC,0.48,318.0
54,56,2,DAC,0.58,463.0
56,58,2,DAC,0.77,470.0
58,60,2,DAC,0.47,429.0
60,62,2,DAC,0.43,391.0
62,64,2,DAC,0.38,339.0
64,66,2,DAC,0.65,416.0
66,68,2,DAC,0.33,340.0
68,70,2,DAC,0.48,364.0
70,72,2,POR,1.67,106.0
72,74,2,POR,0.94,113.0
74,76,2,POR,1.17,127.0
76,78,2,POR,1.65,45.0
78,80,2,POR,1.44,105.0
80,82,2,POR,2.28,35.0
82,84,2,POR,1.9,70.0
84,86,2,POR,1.49,87.0
86,88,2,POR,1.41,97.0
88,90,2,POR,1.64,98.0
90,92,2,POR,1.2,89.0
92,94,2,POR,1.03,73.0
94,96,2,POR,1.46,110.0
96,98,2,POR,1.76,72.0
98,100,2,POR,1.92,77.0
100,102,2,POR,2.19,95.0
102,104,2,POR,1.22,134.0
104,106,2,POR,1.97,78.0
106,108,2,POR,1.1,123.0
108,110,2,POR,2.0,68.0
110,112,2,POR,1.72,101.0
112,114,2,POR,1.63,101.0
114,116,2,POR,1.5,108.0
116,118,2,POR,1.52,65.0
118,120,2,POR,1.32,88.0
