x,y,z,cu_grade
0.0,0.0,0.0,0.0
0.0,0.0,10.0,0.0
0.0,0.0,20.0,0.03363166464259426
0.0,0.0,30.0,0.015359249592607331
0.0,0.0,40.0,0.10155886419693223
0.0,0.0,50.0,0.0
0.0,0.0,60.0,0.07974472421285239
0.0,0.0,70.0,0.0
0.0,0.0,80.0,0.023152062066626483
0.0,0.0,90.0,0.03253066774997532
0.0,0.0,100.0,0.06429086335143942
0.0,0.0,110.0,0.07387808607601994
0.0,0.0,120.0,0.0
0.0,0.0,130.0,0.0
0.0,0.0,140.0,0.13862221757648105
0.0,0.0,150.0,0.0
0.0,0.0,160.0,0.0
0.0,0.0,170.0,0.0
0.0,0.0,180.0,0.0
0.0,0.0,190.0,0.0
0.0,0.0,200.0,0.0
0.0,0.0,210.0,0.039092844490964784
0.0,0.0,220.0,0.0
0.0,0.0,230.0,0.0
0.0,0.0,240.0,0.0
0.0,0.0,250.0,0.0
0.0,0.0,260.0,0.0
0.0,0.0,270.0,0.104465067196803
0.0,0.0,280.0,0.0
0.0,0.0,290.0,0.014388643130052933
0.0,10.0,0.0,0.035575879780694535
0.0,10.0,10.0,0.0
0.0,10.0,20.0,0.04464766146555533
0.0,10.0,30.0,0.0
0.0,10.0,40.0,0.0
0.0,10.0,50.0,0.02838711866567732
0.0,10.0,60.0,0.0
0.0,10.0,70.0,0.017947947370351217
0.0,10.0,80.0,0.012809270353322279
0.0,10.0,90.0,0.0
0.0,10.0,100.0,0.044094456313714225
0.0,10.0,110.0,0.05678557573963525
0.0,10.0,120.0,0.07424974454565075
0.0,10.0,130.0,0.0
0.0,10.0,140.0,0.112821371079146
0.0,10.0,150.0,0.018585937272661137
0.0,10.0,160.0,0.033265189295884616
0.0,10.0,170.0,0.03385476757691712
0.0,10.0,180.0,0.0
0.0,10.0,190.0,0.034667178047544184
0.0,10.0,200.0,0.008138087333702547
0.0,10.0,210.0,0.07769521666384828
0.0,10.0,220.0,0.001213285586407523
0.0,10.0,230.0,0.0075548602509819054
0.0,10.0,240.0,0.09064761932725784
0.0,10.0,250.0,0.0
0.0,10.0,260.0,0.0
0.0,10.0,270.0,0.0
0.0,10.0,280.0,0.014299097536308751
0.0,10.0,290.0,0.0
0.0,20.0,0.0,0.0
0.0,20.0,10.0,0.0
0.0,20.0,20.0,0.0
0.0,20.0,30.0,0.06365544763209557
0.0,20.0,40.0,0.025329084244566227
0.0,20.0,50.0,0.04418822586118007
0.0,20.0,60.0,0.0
0.0,20.0,70.0,0.06715820146396527
0.0,20.0,80.0,0.007286580333600537
